Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
COLINA_ESCUELA BASICA SANTA MARTA DE LIRAY;-33.24710518;-70.75265447;80;80
COLINA_ESCUELA BASICA SANTA TERESA DEL CARMELO;-33.20630044;-70.67110269;147;147
COLINA_ESCUELA CAMINA ALTO;-33.18710699;-70.66719;360;360
COLINA_ESCUELA DE PARVULOS N°2437, COLEGIO ALEMÁN CHICUREO;-33.25922819;-70.61772739;274;274
COLINA_ESCUELA ESP. PART. ACONCAGUA DE COLINA;-33.20304999;-70.67968999;180;180
COLINA_ESCUELA ESPECIAL CENTRO EDUCACIONAL PUKARA;-33.20480361;-70.67795331;12;12
COLINA_ESCUELA ESPECIAL DIVINO NIÑO JESUS;-33.20083;-70.67979;90;90
COLINA_ESCUELA ESPECIAL N° 2483 ANKATU;-33.20812999;-70.6712;63;63
COLINA_ESCUELA ESPECIAL PORVENIR;-33.20767399;-70.67634099;29;29
COLINA_ESCUELA ESPECIAL TERESITA DE COLINA;-33.17814;-70.65634;263;263
COLINA_ESCUELA INMACULADA CONCEPCION;-33.20513141;-70.6780651;122;122
COLINA_ESCUELA PART. SANTA MARIA DE GUADALUPE;-33.203815;-70.6807;92;92
COLINA_ESCUELA PART. STA. CLARISA DE COLINA;-33.20398131;-70.68026279;41;41
COLINA_ESCUELA PARTICULAR DESIREE;-33.20199253;-70.67836612;249;249
COLINA_ESCUELA PARTICULAR NUEVA ESMERALDA;-33.180042;-70.654106;120;120
COLINA_ESCUELA PARTICULAR PAPELUCHO;-33.20360051;-70.68007342;31;31
COLINA_ESCUELA PARTICULAR SUBVENCIONADA SAN JORGE DE COLINA;-33.21208;-70.67878;35;35
COLINA_ESCUELA PREMIO NOBEL PABLO NERUDA;-33.1959497;-70.67375371;97;97
COLINA_ESCUELA SAINT MARY SCHOOL;-33.20475428;-70.67412944;51;51
COLINA_ESCUELA SAN FRANCISCO DE ASIS;-33.30205664;-70.71001926;22;22
COLINA_ESPERANZA;-33.240059;-70.735525;44;44
COLINA_HANSEL Y GRETEL;-33.20968378;-70.67640198;51;51
COLINA_HAPPY DAY;-33.18883;-70.67022;89;89
COLINA_INFANCIA FELIZ;-33.19862819;-70.67172717;52;52
COLINA_J.S.R. LAS CANTERAS;#DIV/0!;#DIV/0!;14;14
COLINA_JESUS DE PRAGA;-33.19984579;-70.68032295;100;100
COLINA_LAS AGUILAS;-33.20720031;-70.68199761;21;21
COLINA_LAS MORITAS;-33.29200435;-70.72580399;21;21
COLINA_LICEO ESMERALDA;-33.20899131;-70.67893139;60;60
COLINA_LOS AROMOS;-33.222102;-70.6818;23;23
COLINA_LOS CACHORRITOS;-33.263799;-70.678101;37;37
COLINA_LOS TRES OSITOS;-33.181997;-70.6514;57;57
COLINA_MI CAMPITO;-33.074577;-70.716093;24;24
COLINA_NUEVA ESPERANZA;-33.20852051;-70.67773156;39;39
COLINA_PASITOS DE CHACABUCO;-33.20560177;-70.67650697;46;46
COLINA_RAYITO DE SOL;-33.19600397;-70.66959788;50;50
COLINA_RAYN;-33.209806;-70.675385;123;123
COLINA_S.C. BAMBI;-33.208802;-70.680902;36;36
COLINA_SAN BENITO;-33.18687774;-70.67439721;38;38
COLINA_SANTA TERESITA DE LOS ANDES;-33.19341399;-70.66770377;90;90
COLINA_SONRISA DE MIEL;-33.204458;-70.669319;134;134
COLINA_TREMŠN KI¥ERUN;-33.184704;-70.674296;93;93
COLINA_UNAMOS LAS MANITOS;-33.18260899;-70.65665199;18;18
CONCHALÍ_ALLIPEN;-33.38051098;-70.68704598;140;140
CONCHALÍ_ANDALUE;-33.381965;-70.687454;45;45
CONCHALÍ_AYENHUE;-33.37399996;-70.66634004;44;44
CONCHALÍ_AYIN ANTU;-33.38018999;-70.66011998;85;85
CONCHALÍ_CENTRO POLITECNICO PARTICULAR CONCHALI;-33.38186548;-70.66200969;115;115
CONCHALÍ_COLEGIO CRISTOBAL COLON;-33.37548506;-70.68012656;77;77
CONCHALÍ_COLEGIO HELLEN´S COLLEGE;-33.39090138;-70.67481829;120;120
CONCHALÍ_COLEGIO LIBERTADOR SAN MARTIN;-33.39112361;-70.67462279;77;77
CONCHALÍ_CRISTO RESUCITADO;-33.372721;-70.684242;127;127
CONCHALÍ_DOÑA LETIZIA;-33.36986944;-70.68328611;111;111
CONCHALÍ_ESC. ESP. DE LENGUAJE OMILEN ANTU;-33.371387;-70.69128;26;26
CONCHALÍ_ESC. ESPEC. PART. LAS CAMELIAS;-33.38333;-70.669754;86;86
CONCHALÍ_ESC. ESPECIAL PART. BELLA ACUARELA;-33.369427;-70.67698;93;93
CONCHALÍ_ESC.ESP. PART.SAN VICENTE DE PAUL DE CONCHAL-;-33.394653;-70.66345;54;54
CONCHALÍ_ESCUELA ALLIPEN;-33.38061093;-70.68575489;60;60
CONCHALÍ_ESCUELA ARAUCARIAS DE CHILE;-33.37984929;-70.66044333;43;43
CONCHALÍ_ESCUELA ATENEA;-33.39951614;-70.66924207;52;52
CONCHALÍ_ESCUELA AVIADOR DAGOBERTO GODOY F.;-33.37860004;-70.67227419;55;55
CONCHALÍ_ESCUELA BAS. CRISTIANO EL SEMBRADOR;-33.37540514;-70.68134046;58;58
