Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
MAIPÚ_ESCUELA LEON HUMBERTO VALENZUELA;-33.49748334;-70.76528718;68;68
MAIPÚ_ESCUELA PART. PEHUEN;-33.50362444;-70.75312962;13;13
MAIPÚ_ESCUELA PARTICULAR COMUNICATE;-33.50665999;-70.75364;55;55
MAIPÚ_ESCUELA PARTICULAR FRANZ LISZT;-33.51605977;-70.76354117;24;24
MAIPÚ_ESCUELA PARTICULAR LA MONTANA;-33.52341083;-70.7629265;15;15
MAIPÚ_ESCUELA PARTICULAR RUBEN DARIO;-33.51861359;-70.75718188;99;99
MAIPÚ_ESCUELA PARTICULAR SALVADOR DALI;-33.5400313;-70.77689954;112;112
MAIPÚ_ESCUELA PARVULOS MY SECOND HOME;-33.513958;-70.770584;24;24
MAIPÚ_ESCUELA PRESIDENTE RIESCO ERRAZURIZ;-33.52620996;-70.75909153;83;83
MAIPÚ_ESCUELA TOMAS VARGAS;-33.49999901;-70.77625399;64;64
MAIPÚ_ESCUELA VICENTE REYES PALAZUELOS;-33.51707669;-70.75083578;65;65
MAIPÚ_ESDRAS;-33.54542;-70.781571;77;77
MAIPÚ_HIJOS DE LAS ESTRELLAS;-33.503365;-70.790522;48;48
MAIPÚ_INSTITUTO CRISTIANO LUIS GANDARILLAS;-33.50439767;-70.75524183;43;43
MAIPÚ_JESÉS JOS Y MARÖA;-33.512623;-70.785087;94;94
MAIPÚ_KIN RUKA;-33.525527;-70.794157;111;111
MAIPÚ_LAS ABEJITAS;-33.501538;-70.794983;80;80
MAIPÚ_LAS FLORES;-33.478397;-70.761573;48;48
MAIPÚ_LICEO JOSE IGNACIO ZENTENO;-33.50340173;-70.76915488;28;28
MAIPÚ_LICEO MATER PURISSIMA;-33.50517905;-70.74711759;65;65
MAIPÚ_LICEO REINO DE DINAMARCA;-33.50718521;-70.78259672;52;52
MAIPÚ_LICEO SANTIAGO BUERAS Y AVARIA;-33.50527427;-70.75174176;29;29
MAIPÚ_LINCOLN COLLEGE SAN MARTIN;-33.52432341;-70.77775865;105;105
MAIPÚ_LOS LLANOS DE MAIPÉ;-33.54843;-70.76074;77;77
MAIPÚ_LOS PEQUES;-33.514489;-70.796968;77;77
MAIPÚ_LOS SOLCITOS;-33.52768588;-70.79826835;92;92
MAIPÚ_MADRESELVA;-33.50401;-70.77681001;172;172
MAIPÚ_MARGOT LOYOLA;-33.46407;-70.762588;44;44
MAIPÚ_MOLINO DE COLORES;-33.473289;-70.750207;47;47
MAIPÚ_MUNDO ACUARELA;-33.55339;-70.77036;134;134
MAIPÚ_MŽILN;-33.499887;-70.761216;40;40
MAIPÚ_NUEVO MUNDO;-33.469816;-70.758147;101;101
MAIPÚ_PALLAMAR;-33.51373;-70.74597;45;45
MAIPÚ_PATRONA DE CHILE;-33.504753;-70.772999;173;173
MAIPÚ_PEHUEN;-33.522454;-70.795101;86;86
MAIPÚ_PEQUENOS EXPLORADORES;-33.52006597;-70.78128597;112;112
MAIPÚ_PEQUEÑAS MARAVILLAS;-33.491773;-70.768615;78;78
MAIPÚ_PINCELES Y COLORES;-33.50708;-70.779631;190;190
MAIPÚ_RAYEN MAPU;-33.498968;-70.782028;93;93
MAIPÚ_REPUBLICA DE GUATEMALA;-33.49750189;-70.74955631;80;80
MAIPÚ_SAN JOSE;-33.52470998;-70.77094003;101;101
MAIPÚ_SAN JUAN;-33.540405;-70.770451;81;81
MAIPÚ_SANTA RAFAELA MARÖA;-33.497359;-70.767886;87;87
MAIPÚ_SEMILLITAS;-33.49717202;-70.73813503;90;90
MAIPÚ_SINFONIA MAGICA;-33.49042802;-70.75705502;96;96
MAIPÚ_VALLE LOS REYES;-33.514;-70.79761;140;140
MAIPÚ_VALLE VERDE;-33.490325;-70.732807;42;42
MAIPÚ_VICENTE REYES;-33.51759463;-70.75092283;40;40
MARÍA PINTO_ESCUELA BASICA F-N° 732 CHOROMBO ALTO;-33.50376812;-71.25696173;40;40
MARÍA PINTO_ESCUELA BASICA F-N°738 LOS RULOS;-33.4583215;-71.09635324;50;50
MARÍA PINTO_ESCUELA BASICA G-N°733 CHOROMBO BAJO;-33.54268251;-71.2131567;33;33
MARÍA PINTO_ESCUELA BASICA G-N°734 LAS MERCEDES;-33.48695102;-71.18610421;83;83
MARÍA PINTO_ESCUELA BASICA G-N°737 SANTA EMILIA;-33.54390952;-71.22167336;49;49
MARÍA PINTO_LICEO MUNICIPAL F-N°860;-33.51577578;-71.12476598;76;76
MARÍA PINTO_LOS RULITOS;-33.51546824;-71.12520338;52;52
MARÍA PINTO_SAN ENRIQUE;-33.470497;-71.115303;77;77
MARÍA PINTO_SANTA RITA DE CASIA;-33.53177;-71.23302;52;52
MARÍA PINTO_VALLE ESCONDIDO;-33.456964;-71.094717;46;46
MARÍA PINTO_ZAPALLÖN;-33.516099;-71.118405;77;77
MELIPILLA_ CAPULLITOS DE LOS CARDENALES;-33.6835438;-71.23070725;93;93
MELIPILLA_ALTO DE CANTILLANA;-33.74648;-71.193827;55;55
MELIPILLA_ANGELITOS DE HUECHUN;-33.711603;-71.289827;38;38
MELIPILLA_ANTUPILLΜN;-33.682486;-71.202921;49;49
MELIPILLA_ANTYLLAL;-33.6991675;-71.21881806;79;79
MELIPILLA_CAMPO NEVADO;-33.67363218;-71.23432277;16;16
MELIPILLA_CANELUZ;-33.67988959;-71.22734493;105;105
MELIPILLA_CASA DE TRAVESURAS;-33.68173299;-71.21908805;39;39
MELIPILLA_CENTRO EDUCACIONAL MENESIANO;-33.79750806;-71.23603658;154;154
MELIPILLA_COLEGIO CRISTOBAL COLON DE MELIPILLA;-33.655381;-71.2269;91;91
MELIPILLA_COLEGIO HUILCO ALTO;-33.70305693;-71.22065023;44;44
MELIPILLA_COLEGIO JOSE M.BALMACEDA DE MELIPILLA;-33.68046191;-71.19277794;37;37
MELIPILLA_COLEGIO MAITENES;-33.65852;-71.22884999;89;89
MELIPILLA_COLEGIO MONS. JAIME LARRAIN BUNSTER;-33.69936605;-71.21894585;66;66
MELIPILLA_COLEGIO NUESTRA SENORA DE LA MERCED;-33.68708517;-71.21631017;35;35
MELIPILLA_COLEGIO O`HIGGINS;-33.69043398;-71.21848353;64;64
MELIPILLA_COLEGIO PART. MANSO DE VELASCO MELIPILLA;-33.68020226;-71.18863369;30;30
MELIPILLA_COLEGIO PART.SAN SEBASTIAN DE MELIPILLA;-33.68112254;-71.194218;50;50
MELIPILLA_COLEGIO PARTICULAR ALONSO DE ERCILLA;-33.68440506;-71.22106961;148;148
MELIPILLA_COLEGIO PARTICULAR MELIPILLA;-33.68140033;-71.19525889;199;199
MELIPILLA_COLEGIO POLIVALENTE SAN AGUSTIN;-33.687471;-71.2110195;187;187
MELIPILLA_COLEGIO POMAIRE;-33.64970378;-71.14878899;65;65
MELIPILLA_COLEGIO SAN MANUEL;-33.68350568;-71.22313717;66;66
MELIPILLA_COLEGIO SAYEN;-33.67894251;-71.18883807;121;121
MELIPILLA_COLEGIO VALLE DE MALLARAUCO;-33.60899;-70.975266;36;36
MELIPILLA_EL SOLCITO;-33.66592857;-71.31770467;52;52
MELIPILLA_EL TRENCITO;-33.70881379;-71.21590034;118;118
MELIPILLA_ESC. BAS. NUESTRA SEÑORA Y MADRE DEL CARMEN;-33.68152554;-71.23037302;132;132
MELIPILLA_ESC. DE PARV. Y ESP. RAHUE;-33.69124999;-71.21982;93;93
MELIPILLA_ESCUELA BAS. SAN ESTEBAN DE MELIPILLA;-33.6905;-71.20048;20;20
MELIPILLA_ESCUELA BASICA CARMEN BAJO;-33.74214974;-71.16606256;52;52
MELIPILLA_ESCUELA BASICA COLEGIO VILLA LOGRONO;-33.68047609;-71.21885711;37;37
MELIPILLA_ESCUELA BASICA EL PABELLON;-33.69117454;-71.21605787;74;74
MELIPILLA_ESCUELA BÁSICA N°62 SANTA JULIA;-33.684118;-71.2084;11;11
MELIPILLA_ESCUELA BASICA PARTICULAR SAN JOSE DE MELIP¦;-33.68696323;-71.21758155;39;39
MELIPILLA_ESCUELA CENTRO BIBLICO LA FORESTA;-33.67947611;-71.22710619;36;36
MELIPILLA_ESCUELA CLAUDIO ARRAU;-33.76549454;-71.29180674;65;65
MELIPILLA_ESCUELA DE PARVULOS N° 201 `MIKY`;-33.57023;-71.20528;27;27
MELIPILLA_ESCUELA ESP SANTA INES DE LA PAZ;-33.690964;-71.207634;109;109
MELIPILLA_ESCUELA ESP. FLORECER;-33.68193;-71.20849;177;177
MELIPILLA_ESCUELA ESP. PART. SANTA ROSA DE MELIPILLA;-33.68222;-71.22067;178;178
MELIPILLA_ESCUELA ESP. SAN CARLOS DE MELIPILLA;-33.681465;-71.20134;187;187
MELIPILLA_ESCUELA ESPECIAL AGUSTINA;-33.68616999;-71.21111999;100;100
MELIPILLA_ESCUELA ESPECIAL FLORES DE BOLLENAR;-33.56912599;-71.2149;186;186
MELIPILLA_ESCUELA ESPECIAL N° 205 SANTA MARIA;-33.6819;-71.22495;89;89
MELIPILLA_ESCUELA ESPECIAL SANTA AMELIA;-33.56965;-71.20717999;88;88
MELIPILLA_ESCUELA ESPECIAL SANTA ANA;-33.727093;-71.2042;90;90
MELIPILLA_ESCUELA GRAL. CAROL URZUA;-33.70132961;-71.2184266;27;27
MELIPILLA_ESCUELA HOSPITALARIA SAN JOSE DE MELIPILLA;-33.69507999;-71.21536999;5;5
MELIPILLA_ESCUELA HUECHUN;-33.70548475;-71.29497926;43;43
MELIPILLA_ESCUELA IGNACIO SERRANO MONTANER;-33.68191429;-71.21328955;25;25
MELIPILLA_ESCUELA JOSE CAMARENA ESCRIVA;-33.85504814;-71.38432627;45;45
MELIPILLA_ESCUELA LIDIA MATTE HURTADO;-33.58033306;-71.05611024;32;32
MELIPILLA_ESCUELA PADRE ALBERTO HURTADO;-33.77442672;-71.09046248;9;9
MELIPILLA_ESCUELA PARTICULAR SANTA LAURA DE MELIPILLA;-33.69955;-71.21766;107;107
MELIPILLA_ESCUELA PATRICIO LARRAIN GANDARILLAS;-33.58191848;-70.98892126;33;33
MELIPILLA_ESCUELA PEDRO MARIN ALEMANY;-33.76420676;-71.26928525;55;55
MELIPILLA_ESCUELA PUANGUE;-33.6666921;-71.32217863;20;20
MELIPILLA_ESCUELA RAMON NOGUERA PRIETO;-33.56684511;-71.13375394;42;42
MELIPILLA_ESCUELA RAQUEL FERNANDEZ DE MORANDE;-33.81436999;-71.26994999;26;26
MELIPILLA_ESCUELA REPUBLICA DEL BRASIL;-33.69247039;-71.219244;64;64
MELIPILLA_ESCUELA SAN JOSE DE LA VILLA;-33.58914093;-71.2185123;64;64
MELIPILLA_ESCUELA SANTA ROSA ESMERALDA;-33.66363144;-71.26508695;53;53
MELIPILLA_GOTITAS DE AGUA;-33.61192;-71.22275;14;14
MELIPILLA_GUALMAPU;-33.766086;-71.270476;33;33
MELIPILLA_J.S.R LOS AROMOS DE CODIGUA;#DIV/0!;#DIV/0!;14;14
MELIPILLA_J.S.R. LA CARRERA;#DIV/0!;#DIV/0!;17;17
MELIPILLA_J.S.R. LOS MOLLES;#DIV/0!;#DIV/0!;15;15
MELIPILLA_J.S.R. MANANTIALES;#DIV/0!;#DIV/0!;10;10
MELIPILLA_JARDIN INFANTIL SANTA MONICA;-33.686106;-71.221099;113;113
MELIPILLA_LAS MARAVILLAS DE ULMEN;-33.74546882;-71.198138;33;33
MELIPILLA_LICEO GABRIELA MISTRAL DE MELIPILLA;-33.68240981;-71.21330832;59;59
MELIPILLA_LICEO LOS JAZMINES;-33.68546279;-71.23090406;115;115
MELIPILLA_LICEO POLIV. EL BOLLENAR;-33.56792988;-71.2116467;40;40
MELIPILLA_LOS LOBITOS;-33.694956;-71.22385;67;67
MELIPILLA_LUIS EMILIO RECABARREN;-33.676174;-71.235794;48;48
MELIPILLA_MANITOS DE GREDA;-33.647964;-71.149705;90;90
MELIPILLA_MI MUNDO ESPERANZA;-33.684787;-71.233522;60;60
MELIPILLA_MUNDO FELIZ;-33.69839106;-71.21536291;40;40
MELIPILLA_NUEVO AMANECER;-33.697378;-71.220425;58;58
MELIPILLA_PASITOS DE COLORES;-33.68209;-71.222732;48;48
MELIPILLA_PEQUE¥OS POETAS;-33.678403;-71.2323;85;85
MELIPILLA_PIECECITOS DE NIÑOS Y NIÑAS;-33.726101;-71.191218;42;42
MELIPILLA_PIEDRECITAS DE AGUA;-33.65986496;-71.1300961;33;33
MELIPILLA_RAYITO DE SOL;-33.66550147;-71.30680226;28;28
MELIPILLA_SONRISITAS;-33.68394;-71.197252;94;94
MELIPILLA_SUEÑOS DE COLORES;-33.681915;-71.229144;44;44
MELIPILLA_TENIENTE LUIS CRUZ MARTÖNEZ;-33.689084;-71.221973;68;68
MELIPILLA_TIERRA DE NINOS;-33.68084652;-71.2322646;55;55
MELIPILLA_VALLE MAGICO;-33.66014398;-71.3398823;32;32
ÑUÑOA_ÁREAS VERDES;-33.47080298;-70.61720499;186;186
ÑUÑOA_AYUN KARU;-33.470844;-70.59641;95;95
ÑUÑOA_CABALLITO AZUL;-33.46785;-70.61934;52;52
ÑUÑOA_CAMPANITA;-33.460886;-70.588318;130;130
ÑUÑOA_COLEGIO AKROS;-33.45534399;-70.58911999;175;175
ÑUÑOA_COLEGIO CALASANZ;-33.449484;-70.58497;91;91
ÑUÑOA_COLEGIO DIVINA PASTORA NUNOA;-33.45912748;-70.60557618;68;68
ÑUÑOA_COLEGIO ESPECIAL HOSPITALARIO DE CARABINEROS;-33.450836;-70.60871;1;1
ÑUÑOA_COLEGIO FRANCISCO ENCINA;-33.463861;-70.60037;50;50
ÑUÑOA_COLEGIO INSTITUTO SANTA MARIA;-33.45770799;-70.59607;66;66
ÑUÑOA_COLEGIO ISABEL LA CATOLICA;-33.447716;-70.60389;28;28
ÑUÑOA_COLEGIO LA CANTERA;-33.46115;-70.60757;12;12
ÑUÑOA_COLEGIO LA FONTAINE;-33.453592;-70.58;54;54
ÑUÑOA_COLEGIO MANQUECURA ÑUÑOA;-33.45306888;-70.57552913;261;261
ÑUÑOA_COLEGIO PART. NEW HEINRICH HIGH SCHOOL;-33.46784782;-70.59862765;48;48
ÑUÑOA_COLEGIO PARTICULAR N 1 DE NUNOA;-33.47059844;-70.58935544;144;144
ÑUÑOA_COLEGIO PARTICULAR NUMERO DOS DE NUÑOA;-33.47005619;-70.57900221;151;151
ÑUÑOA_COLEGIO PRECIOSA SANGRE;-33.45841479;-70.60498815;63;63
ÑUÑOA_COLEGIO SAINT GASPAR COLLEGE;-33.460305;-70.60514999;111;111
ÑUÑOA_COLEGIO SAN AGUSTIN;-33.45922199;-70.57814999;215;215
ÑUÑOA_COLEGIO SANTA MARTA;-33.43865902;-70.57565916;74;74
ÑUÑOA_COLEGIO SUIZO DE SANTIAGO;-33.45668899;-70.60865;61;61
ÑUÑOA_COLEGIO THE ANGEL´S SCHOOL;-33.447662;-70.59487;86;86
ÑUÑOA_COLEGIO UNIVERSITARIO EL SALVADOR;-33.448369;-70.62163;96;96
ÑUÑOA_COLEGIO VICTOR DOMINGO SILVA;-33.445357;-70.5723;12;12
ÑUÑOA_ESC. ESPECIAL PART. JAN VAN DIJK;-33.454105;-70.625175;19;19
ÑUÑOA_ESC.PRESIDENTE EDUARDO FREI MONTALVA;-33.45907849;-70.58108893;194;194
ÑUÑOA_ESCUELA AURORA DE CHILE;-33.44582866;-70.60109451;10;10
ÑUÑOA_ESCUELA BÁSICA JOSÉ TORIBIO MEDINA;-33.45700956;-70.59402437;43;43
ÑUÑOA_ESCUELA BASICA N°2392 JOHN JOHN HIGH SCHOOL;-33.44712;-70.61362;30;30
ÑUÑOA_ESCUELA BENJAMIN CLARO VELASCO;-33.46542626;-70.58306906;61;61
ÑUÑOA_ESCUELA DE ED.DIFERENCIAL HELLEN KELLER;-33.44346668;-70.57462594;9;9
ÑUÑOA_ESCUELA DIFERENCIAL MUNICIPAL AMAPOLAS;-33.440495;-70.57996;15;15
ÑUÑOA_ESCUELA ESP. SAN NECTARIO;-33.470215;-70.61320499;47;47
ÑUÑOA_ESCUELA ESPECIAL ANADIME;-33.44909;-70.60184;12;12
ÑUÑOA_ESCUELA ESPECIAL DE LENGUAJE BOY HAPPY;-33.46230099;-70.58954;59;59
ÑUÑOA_ESCUELA ESPECIAL GOTITA BLUE;-33.464146;-70.58775;50;50
ÑUÑOA_ESCUELA ESPECIAL N° 2278 NUESTRAS HUELLAS;-33.463638;-70.600098;70;70
ÑUÑOA_ESCUELA ESPECIAL STELLA MARIS DE NUNOA;-33.46011;-70.61154999;50;50
ÑUÑOA_ESCUELA GUILLERMO ZANARTU IRIGOYEN;-33.4631565;-70.61847716;98;98
ÑUÑOA_ESCUELA INTERCULTURAL KALLFÜ MAPU;-33.46736311;-70.61973321;59;59
ÑUÑOA_ESCUELA JUAN MOYA MORALES;-33.46838806;-70.5905988;43;43
ÑUÑOA_ESCUELA PART. ROSA JARAQUEMADA;-33.45202712;-70.62421611;15;15
ÑUÑOA_ESCUELA PARTICULAR ESPECIAL CEINTRALE;-33.458508;-70.59179;108;108
ÑUÑOA_ESCUELA PARTICULAR SAN JUAN BAUTISTA;-33.46717833;-70.59824003;64;64
ÑUÑOA_ESCUELA REPUBLICA DE COSTA RICA;-33.45652629;-70.59439404;96;96
ÑUÑOA_ESCUELA REPUBLICA DE FRANCIA;-33.46806327;-70.60057686;75;75
ÑUÑOA_GIRASOL;-33.47149195;-70.58441136;39;39
ÑUÑOA_HOGAR MISION DE MARIA;-33.44271;-70.57924;13;13
ÑUÑOA_LAS AMAPOLAS;-33.441056;-70.580069;154;154
ÑUÑOA_LICANRAY;-33.47246314;-70.59486091;123;123
ÑUÑOA_LICEO BICENTENARIO CARMELA SILVA DONOSO;-33.46739669;-70.60644854;138;138
ÑUÑOA_LICEO EXPERIMENTAL MANUEL DE SALAS;-33.454197;-70.5917;194;194
ÑUÑOA_LICEO LENKA FRANULIC;-33.4498298;-70.57258566;92;92
ÑUÑOA_LICEO REPUBLICA DE SIRIA;-33.45573284;-70.574342;238;238
ÑUÑOA_MANZANILLA;-33.46804303;-70.60664497;106;106
ÑUÑOA_MUNDO MARAVILLOSO;-33.46793202;-70.591463;84;84
ÑUÑOA_NARANJITA;-33.47094138;-70.58435169;115;115
ÑUÑOA_PIN-PILIN;-33.46707823;-70.57834516;139;139
ÑUÑOA_SOL NACIENTE;-33.470484;-70.613325;174;174
ÑUÑOA_TIERRA DE NIÑOS;-33.47037275;-70.6156486;98;98
ÑUÑOA_UMCE;-33.468664;-70.601995;93;93
PADRE HURTADO_COLEGIO ALBERTO HURTADO CRUCHAGA;-33.57228781;-70.81313369;134;134
PADRE HURTADO_COLEGIO BOSTON COLLEGE LAGUNA DEL SOL;-33.56978999;-70.82861;137;137
PADRE HURTADO_COLEGIO CASTELGANDOLFO;-33.56283345;-70.79078479;109;109
PADRE HURTADO_COLEGIO CENTRO EDUCACIONAL ALTAIR;-33.56229208;-70.79081617;103;103
PADRE HURTADO_COLEGIO MADRE DE JESUS;-33.56698999;-70.78537799;107;107
PADRE HURTADO_COLEGIO PEUMAYEN;-33.56575727;-70.80999994;60;60
PADRE HURTADO_COLEGIO SANTA MARIA GORETTI DE PADRE HUR;-33.56367887;-70.79833526;56;56
PADRE HURTADO_COMPLEJO EDUC. LUIS PASTEUR, ANEXO;-33.56555219;-70.80379268;33;33
PADRE HURTADO_COMPLEJO EDUC.PART. LUIS PASTEUR;-33.56570172;-70.79661397;102;102
PADRE HURTADO_CRISTAL CHILE;-33.562328;-70.82049266;103;103
PADRE HURTADO_ESC ESP STA MARTA DE PADRE HURTADO;-33.566578;-70.7951;148;148
PADRE HURTADO_ESC. BAS.PART.FRANCISCO DE AGUIRRE;-33.57296094;-70.8172816;171;171
PADRE HURTADO_ESC. DE PARV. Y ESP. AMANECER DE PADRE HURTA;-33.57383699;-70.80985;238;238
PADRE HURTADO_ESC.BAS.Y ESP.INTEGRAL STA. ROSA DE CHENA.;-33.56172551;-70.79215766;102;102
PADRE HURTADO_ESC.BASICA PART.BENJAMIN VERGARA;-33.56742007;-70.81639839;129;129
PADRE HURTADO_ESCUELA BASICA PARTICULAR BRASILIA;-33.5693386;-70.81033128;31;31
PADRE HURTADO_ESCUELA BÁSICA Y ESPECIAL N°90 AMANECER;-33.57670014;-70.81392447;86;86
PADRE HURTADO_ESCUELA CRISTAL CHILE;-33.56195335;-70.81898755;58;58
PADRE HURTADO_ESCUELA DE PARVULOS MUNDO MAGICO;-33.564884;-70.79365;92;92
PADRE HURTADO_ESCUELA ESP SANTA MARCELA CRECER;-33.564583;-70.80485;13;13
PADRE HURTADO_ESCUELA ESPECIAL ALIANZA MISIONERA;-33.565285;-70.80531999;120;120
PADRE HURTADO_ESCUELA ESPECIAL ANTAY;-33.574375;-70.80918;83;83
PADRE HURTADO_ESCUELA ESPECIAL EL TREBOL;-33.5651;-70.798096;119;119
PADRE HURTADO_ESCUELA ESPECIAL KAYROS KIDS;-33.565357;-70.7931;114;114
PADRE HURTADO_ESCUELA ESPECIAL MIS ANGELITOS;-33.560482;-70.79673;71;71
PADRE HURTADO_ESCUELA ESPECIAL TERRA BAMBINI;-33.572926;-70.81188;48;48
PADRE HURTADO_ESCUELA LA ESPERANZA;-33.55413916;-70.86415667;60;60
PADRE HURTADO_ESCUELA REPUBLICA ARGENTINA;-33.57234732;-70.82072865;50;50
PADRE HURTADO_J.S.R. EL ARRAYAN;#DIV/0!;#DIV/0!;10;10
PADRE HURTADO_JARDIN INFANTIL ARBOL DE LOS SUEÑOS;-33.569698;-70.81679699;21;21
PADRE HURTADO_LICEO BICENTENARIO DE EXCELENCIA PATRICIO MEKIS DE PADRE HURTADO;-33.57483401;-70.8104399;116;116
PADRE HURTADO_LICEO BICENTENARIO DE EXCELENCIA PAUL HARRIS;-33.56312322;-70.796467;44;44
PADRE HURTADO_LOS CHIQUITINES;-33.57530595;-70.80748181;79;79
PADRE HURTADO_ÑUBLE;-33.575298;-70.805992;131;131
PADRE HURTADO_PADRE HURTADO;-33.574179;-70.814256;69;69
PADRE HURTADO_RENATO POBLETE;-33.56566998;-70.79943203;138;138
PAINE_ANTU;-33.80559649;-70.7366961;51;51
PAINE_CANTA CUENTOS;-33.82118631;-70.73993926;49;49
PAINE_CARICIAS DE PINTUE;-33.877336;-70.883735;20;20
PAINE_COLEGIO ALTAZOL DEL MAIPO;-33.854343;-70.76382;71;71
PAINE_COLEGIO BICENTENARIO SANTA MARIA DE PAINE;-33.80612253;-70.7418522;158;158
PAINE_COLEGIO CHALLAY;-33.86991223;-70.71786908;40;40
PAINE_COLEGIO ECOLOGICO PAINE;-33.86188438;-70.75310598;59;59
PAINE_COLEGIO LAS AMERICAS DE PAINE;-33.82147216;-70.73912034;120;120
PAINE_COLEGIO PART. MARIA ANA MOGAS;-33.80931574;-70.7376718;179;179
PAINE_COLEGIO SAN FRANCISCO DE PAINE;-33.812294;-70.74464999;162;162
PAINE_DULCE ESPERANZA;-33.80372583;-70.74017973;87;87
PAINE_ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI;-33.81008486;-70.73441375;117;117
PAINE_ESC. BASICA Nº 136 SAN SEBASTIAN DE PAINE;-33.80736512;-70.73236432;67;67
PAINE_ESC. ESPECIAL STA. MARGARITA DE PAINE;-33.821323;-70.743744;85;85
PAINE_ESCUELA ALEMANIA;-33.81191037;-70.74260549;56;56
PAINE_ESCUELA BARBARA KAST RIST;-33.80438016;-70.70504907;63;63
PAINE_ESCUELA BASICA F-N°835 HERMANOS SANCHEZ CERDA;-33.83962497;-70.83226405;73;73
PAINE_ESCUELA BASICA G N°831 JAVIER EYZAGUIRRE ECHAURREN;-33.90300522;-70.65743048;44;44
PAINE_ESCUELA BASICA G-N°830 FRANCISCO LETELIER VALDES;-33.8451038;-70.95799905;38;38
PAINE_ESCUELA BASICA G-N°832 AGUILA SUR;-33.9054102;-70.75461577;40;40
PAINE_ESCUELA BASICA SAN PEDRO APOSTOL DE PAINE;-33.8080228;-70.73709857;53;53
PAINE_ESCUELA CARMEN REVECO NUNEZ;-33.87718198;-70.88193192;42;42
PAINE_ESCUELA DE PARV. LOS CARIÑOSITOS;-33.817055;-70.73618999;57;57
PAINE_ESCUELA ELIAS SANCHEZ ORTUZAR;-33.85476615;-70.76271962;50;50
PAINE_ESCUELA ESPECIAL ARBOLIRIS;-33.830357;-70.742836;88;88
PAINE_ESCUELA ESPECIAL MUNDO INFANTIL RUTA SUR;-33.83938599;-70.74193;44;44
PAINE_ESCUELA ESPECIAL N°104 SANTA MARIA DE VINCULO;-33.82094;-70.74169;150;150
PAINE_ESCUELA ESPECIAL N°209 PEPITA DE SANDIA;-33.82248;-70.74421;147;147
PAINE_ESCUELA ESPECIAL PART. ARCO IRIS;-33.80942499;-70.73694;115;115
PAINE_ESCUELA ESPECIAL PARTICULAR ANTIRAY;-33.812134;-70.73164;66;66
PAINE_ESCUELA ESPECIAL RICALHUE;-33.81674;-70.74012999;80;80
PAINE_ESCUELA HUGO PINO VILCHEZ;-33.77469811;-70.64823814;80;80
PAINE_ESCUELA LAS COLONIAS;-33.82761097;-70.76572019;25;25
PAINE_ESCUELA SENDERO DE CULITRIN;-33.87268718;-70.66417379;44;44
PAINE_ESTRELLITAS DE BELEN;-33.79860152;-70.68250482;28;28
PAINE_JARDIN INFANTIL Y SALA CUNA CANDES;-33.809819;-70.735258;71;71
PAINE_LAS LILAS DE CHADA;-33.900264;-70.661435;89;89
PAINE_LICEO MARIA CARVAJAL FUENZALIDA;-33.84890061;-70.61246155;77;77
PAINE_LICEO POLIVALENTE GREGORIO MORALES MIRANDA;-33.87334303;-70.74771054;59;59
PAINE_LOS OSITOS;-33.863404;-70.747205;34;34
PAINE_MELODIA;-33.80391001;-70.7139623;73;73
PAINE_MI PEQUENO TESORO;-33.83279983;-70.643496;67;67
PAINE_MUNDO  ACTIVO;-33.80402;-70.73209;78;78
PAINE_PAULA JARAQUEMADA;-33.809543;-70.735026;167;167
PAINE_PINTITAS;-33.876943;-70.883923;53;53
PAINE_RAYITO DE SOL;-33.90762;-70.73819;16;16
PAINE_RINCONCITO FELIZ;-33.8732559;-70.74431423;88;88
PAINE_SAGRADO CORAZON DE HUELQUEN;-33.83015;-70.64089;73;73
PAINE_VIENDONOS CRECER;-33.80144459;-70.68232283;35;35
PEDRO AGUIRRE CERDA_CEIA;-33.50908;-70.67434;74;74
PEDRO AGUIRRE CERDA_CIUDAD DE BARCELONA;-33.49798945;-70.690297;92;92
PEDRO AGUIRRE CERDA_COLEGIO GRACE SCHOOL;-33.50157888;-70.68742747;56;56
PEDRO AGUIRRE CERDA_COLEGIO PARQUE LAS AMERICAS;-33.50260507;-70.69324705;39;39
PEDRO AGUIRRE CERDA_COLEGIO PART. ANTONIO ACEVEDO HERNANDEZ;-33.49117945;-70.67311233;58;58
PEDRO AGUIRRE CERDA_COLEGIO PARTICULAR POBL. ALESSANDRI;-33.48238866;-70.6652931;37;37
PEDRO AGUIRRE CERDA_COLEGIO SAN SEBASTIAN;-33.49941748;-70.68615105;67;67
PEDRO AGUIRRE CERDA_COMPLEJO EDUC.PART.MONSENOR LUIS A.PEREZ;-33.50108236;-70.68927348;272;272
PEDRO AGUIRRE CERDA_DESPERTAR;-33.49694;-70.67828;68;68
PEDRO AGUIRRE CERDA_EL JARDÍN DE VIOLETA PARRA;-33.498912;-70.681608;44;44
PEDRO AGUIRRE CERDA_ELOISA DIAZ;-33.480157;-70.676686;73;73
PEDRO AGUIRRE CERDA_ESC. BASICA MUNICIPAL RISOPATRON;-33.49051853;-70.68838224;32;32
PEDRO AGUIRRE CERDA_ESC. DE PARV. Y ESP. LUIS SEMBRADOR;-33.49125;-70.68138999;179;179
