"","Comuna","subsidiada","decil","escolaridad","ingreso","mater_aceptable","sanea_aceptable","calidad_aceptable","sin_allega_int","sin_allega_ext","sin_hacina"
"71","Rancagua",-0.00326794866256056,0.111111111111111,0.0571723868303695,-0.275798325211377,-0.0301457839951623,0.024663337461917,-0.00393876838957849,0.216903506718334,0.0160670353096563,0.0437852685238548
"72","Codegua",-0.257018421185331,0.2,-0.0454827730601462,0.250271876910703,0.278248328252486,0.0425948560697005,0.194821683769561,0.111198807304655,0.0739661330672916,0.119318113556703
"73","Coinco",0.520349198522954,0,0.0579329780805727,-0.0929417800431159,0.0567506255605547,0.0015121401464357,-0.121528187583726,-0.0456665742731815,0.0245818629677746,-0.0716654523133732
"74","Coltauco",-0.122010593906183,0,0.0323645626542902,-0.133816346215928,0.128162806357945,-0.0748869714312851,-0.0516152276867039,-0.115923736506189,0.00440973374897127,0.0260532706803307
"75","Doñihue",0.744429642024335,-0.2,0.0801330997628329,-0.0365763547968404,0.247689819454072,0.0819006553374522,0.127012741796641,0.284825233793079,0.105021498153885,0.0157201049376444
"76","Graneros",-0.0613107122495046,0,0.0612803778904162,0.146418007905792,-0.0476281890787967,0.0276293128846425,-0.0362274855882812,-0.0523512981335363,0.0484028431574208,0.0234468859900086
"77","Las Cabras",0.450332341808823,0.333333333333333,0.149796333436659,-0.0859183257017037,0.49459819780043,0.32518739003379,0.531745537503896,0.00477438051828499,0.00399441202540138,-0.0142173764164233
"78","Machalí",-0.181199477981303,-0.6,0.154877908068048,0.486246627375906,0.408368969109652,0.152133082846729,0.312120421623104,0.0683233934711901,0.183543344303804,0.0548025880687211
"79","Malloa",-0.0872320964073522,0,0.189894397251209,-0.206487064863677,0.632688183500214,0.439216315064156,0.649509526979198,0.256631553559854,-0.0172222199556949,0.224443566301474
"80","Mostazal",0.761597117846884,3,0.129206276460016,-0.056609586462622,0.457722786443404,0.0295521540113263,0.367214453212077,0.189110855592196,-0.00562570445942427,0.0187408563942376
"81","Olivar",-0.0450160425119316,-0.666666666666667,0.124457627481536,0.403608278714751,0.130484880470685,0.140963603340515,0.312640304990955,0.0444008149171607,0.0259565898411278,0.00715782714576872
"82","Peumo",0.31328747462807,0.5,0.136211655722126,0.132365379022316,-0.0338426769077702,-0.0810626895382965,-0.0269238768913014,-0.144060527192618,-0.111492256458,0.0800418238364518
"83","Pichidegua",-0.140145746037876,0,0.0486206960952093,-0.0424852114860433,0.402321109718808,0.0636111933812672,0.225060680439012,0.143735650326113,-0.0475307088446744,0.230895735651077
"84","Quinta de Tilcoco",0.0309930244638027,1,0.0985131532561951,0.535092689081502,0.195383157678232,0.0587349220790533,0.19959783704021,0.0465592994802702,-0.046451145871946,0.00217074007603924
"85","Rengo",0.193154646017657,-0.6,-0.0153902121094371,-0.0164100156977845,0.0883973620476493,-0.00750267247391616,0.0340739620291879,-0.104007278256506,0.00923674776052959,0.051896721280945
"86","Requínoa",-0.306879132740386,0.333333333333333,0.138865945291601,0.297756256520758,0.199324283290634,0.0499841220292536,0.282003264540093,-0.168193132538823,-0.00214840035743162,0.0596456144984021
"87","San Vicente",0.116410708245127,0,0.152963680627919,0.148096419808577,0.302254563387194,-0.0733528908018593,0.113625015411258,-0.0185010132185882,-0.0799535617367495,0.100423717457192
"88","Pichilemu",0.426459794253378,-0.7,0.166871770595799,0.663604796898208,0.365681233933162,0.00486845460146604,0.148038557334478,0.0367243516754439,0.118688681502752,0.153087231768478
"89","La Estrella",0.0147222913527306,0,-0.0499317130974784,-0.0109491882651205,0.438937700955745,0.0165467833257763,0.318830198626959,0.036180720517701,-0.00499103756144392,0.217278285900763
"90","Litueche",-0.0400917781213401,-0.714285714285714,0.192905816840899,0.417925604691742,0.345845276763848,0.10627010397544,0.318222547457391,-0.0542497632900011,-0.0400590732877977,0.0598553313872852
"91","Marchihue",0.096748238783834,-0.333333333333333,0.0165833789303324,-0.110844357483573,0.292500270125584,0.0829419440731603,0.124363695440269,0.0813058714415413,-0.031213446872222,0.0672012985003587
"92","Navidad",-0.0872565821582414,0,0.00804956732584409,-0.37458405391464,-0.0339627516343587,-0.00735818120481155,0.11326282808949,-0.162178949083292,0.004419075676671,-0.117684309956262
"93","Paredones",1.01736648066959,0,0.241038546260403,0.535532334383834,0.607204001845144,0.127901116489895,0.177913683816384,-0.0614770029281662,0.0699054032387366,-0.0832603229736385
"94","San Fernando",0.565991141941758,-0.833333333333333,0.119362011038263,-0.134360228643328,0.103195571094553,0.0999179609069156,0.148881176663324,0.000246772699442194,0.0334423176592894,0.0249736677334868
"95","Chépica",0.204690536364698,0,0.112636846322714,-0.0634070722953346,0.792537132780617,0.143010874961137,0.447543027763274,-0.0180464904387638,0.0162672287028647,-0.0499712239724962
"96","Chimbarongo",0.509160467479546,0,0.153118124855665,0.166800700919157,0.677758286992832,0.0534773404413618,0.356646145607163,-0.114902702415975,0.0586894190378999,0.127821032279575
"97","Lolol",0.369100716360241,-0.5,0.142603610982748,0.000374621953219741,1.2458008642844,0.297615488158821,0.745180929152054,0.0718846276981473,0.0466625407514444,0.0405651061177824
"98","Nancagua",-0.0613129363693398,-0.333333333333333,0.0770095482753625,0.233631803397822,0.456186446156689,0.0608575696982853,0.379134202779157,-0.134503119082787,0.00482721615958816,0.097424456528788
"99","Palmilla",0.189685671801172,-0.25,0.00105988151281841,0.389701286555579,0.435155859163,0.147378514736847,0.466483299532314,-0.31267785186244,0.0626469412154657,0.00697003868158031
"100","Peralillo",-0.232955772364107,-0.75,0.154364084701293,0.210889535193042,0.430040710263533,0.0478229629854921,0.313929388941865,0.0140116613242461,0.0893900312043341,0.0910525168615205
"101","Placilla",-0.0769761997585273,1,0.0953150037153328,0.0334009396878168,0.400862120068917,-0.0804811443298767,0.084280192104955,0.0290845786871101,0.012896348620229,0.0715957961240697
"102","Pumanque",-0.0191985204303451,-0.5,0.219855252653696,0.87148188576218,1.40174759238835,0.591654361441425,0.928522099447514,0.0698708738450952,0.0196837689577283,0.0655833941090655
"103","Santa Cruz",0.132534525220642,-0.333333333333333,0.158282597012699,0.501346550410037,0.412417825953192,0.0730537225346175,0.385429085902096,-0.0639912618842008,-0.0257899956461707,0.0659395382698884
"104","Talca",0.174625111506798,-0.444444444444445,0.117639293611016,0.24218919444501,0.125180243674394,0.0057855609873896,0.0770400357521113,-0.00298739839515974,-0.0317165634717064,0.0331711324902623
