Mes_A–o;HousingUFm2;LandUFm2;IDSEHousing;m2;Sales;Ageofhousingbuilding;ConstructionCostsIndexCChC;Population;Wages;InterestRate;CopperPrices;IPSA;MoneySupply;LN_housingPrices;Index_HousingUFm2;Index_LandUFm2;Index_IDSEHousing;Index_m2;Index_Sales;Index_Ageofhousingbuilding;Index_ConstructionCostsIndexCChC;Index_Population;Index_Wages;Index_InterestRate;Index_CopperPrices;Index_IPSA;Index_MoneySupply;;;;;;;;;;;;;;;;
201201; 37,6 ; 9,3 ; 0,8 ; 136,8 ; 4.322,0 ; 63,0 ; 4.323,8 ; 5.266.261,0 ; 6,7 ; 4,3 ; 3,6 ; 4.260,8 ; 3.635,9 ; 3,6 ; 0,584 ; 1,154 ; 0,960 ; 1,296 ; 3,845 ; 1,051 ; 1,175 ; 1,030 ; 0,812 ; 0,883 ; 0,939 ; 1,405 ; 1,606 ;;;;;;;;;;;;;;;;
201202; 37,7 ; 8,7 ; 0,8 ; 109,2 ; 4.464,0 ; 51,3 ; 4.381,0 ; 5.268.877,0 ; 6,3 ; 4,3 ; 3,8 ; 4.535,6 ; 3.661,1 ; 3,6 ; 0,564 ; 1,086 ; 0,956 ; 1,147 ; 4,007 ; 0,933 ; 1,185 ; 1,030 ; 0,793 ; 0,886 ; 0,983 ; 1,475 ; 1,619 ;;;;;;;;;;;;;;;;
201203; 35,3 ; 8,1 ; 0,8 ; 98,3 ; 4.994,0 ; 50,4 ; 4.423,0 ; 5.271.492,0 ; 6,6 ; 4,3 ; 3,8 ; 4.671,3 ; 3.643,5 ; 3,6 ; 0,533 ; 1,010 ; 0,957 ; 1,026 ; 4,395 ; 0,887 ; 1,196 ; 1,031 ; 0,811 ; 0,882 ; 0,998 ; 1,527 ; 1,617 ;;;;;;;;;;;;;;;;
201204; 30,0 ; 8,4 ; 0,8 ; 107,9 ; 4.246,0 ; 44,1 ; 4.402,8 ; 5.274.108,0 ; 6,1 ; 4,4 ; 3,7 ; 4.585,8 ; 3.684,8 ; 3,4 ; 0,469 ; 1,011 ; 0,951 ; 1,057 ; 4,033 ; 0,797 ; 1,196 ; 1,031 ; 0,772 ; 0,893 ; 0,987 ; 1,523 ; 1,629 ;;;;;;;;;;;;;;;;
201205; 31,6 ; 9,0 ; 0,8 ; 123,9 ; 4.474,0 ; 58,0 ; 4.489,0 ; 5.276.724,0 ; 6,5 ; 4,4 ; 3,6 ; 4.318,2 ; 3.749,8 ; 3,5 ; 0,466 ; 1,061 ; 0,955 ; 1,177 ; 4,070 ; 0,937 ; 1,212 ; 1,032 ; 0,793 ; 0,893 ; 0,955 ; 1,459 ; 1,653 ;;;;;;;;;;;;;;;;
201206; 37,6 ; 9,2 ; 0,8 ; 115,8 ; 4.431,0 ; 60,8 ; 4.503,7 ; 5.279.339,0 ; 6,0 ; 4,3 ; 3,4 ; 4.400,1 ; 3.788,3 ; 3,6 ; 0,528 ; 1,100 ; 0,959 ; 1,157 ; 4,054 ; 1,014 ; 1,220 ; 1,032 ; 0,761 ; 0,886 ; 0,904 ; 1,459 ; 1,672 ;;;;;;;;;;;;;;;;
201207; 36,6 ; 9,5 ; 0,8 ; 119,5 ; 4.224,0 ; 52,0 ; 4.547,2 ; 5.281.955,0 ; 6,3 ; 4,4 ; 3,4 ; 4.227,6 ; 3.821,9 ; 3,6 ; 0,536 ; 1,138 ; 0,960 ; 1,177 ; 3,916 ; 0,931 ; 1,230 ; 1,033 ; 0,779 ; 0,891 ; 0,903 ; 1,419 ; 1,688 ;;;;;;;;;;;;;;;;
201208; 40,6 ; 9,3 ; 0,8 ; 106,7 ; 4.471,0 ; 58,2 ; 4.640,6 ; 5.284.570,0 ; 6,5 ; 4,3 ; 3,4 ; 4.155,7 ; 3.815,6 ; 3,7 ; 0,579 ; 1,128 ; 0,965 ; 1,093 ; 4,033 ; 0,980 ; 1,251 ; 1,033 ; 0,799 ; 0,881 ; 0,894 ; 1,391 ; 1,691 ;;;;;;;;;;;;;;;;
201209; 41,5 ; 9,1 ; 0,8 ; 114,6 ; 3.233,0 ; 56,3 ; 4.718,6 ; 5.287.186,0 ; 6,2 ; 4,3 ; 3,7 ; 4.230,4 ; 4.002,3 ; 3,7 ; 0,601 ; 1,106 ; 0,966 ; 1,123 ; 3,277 ; 0,972 ; 1,272 ; 1,034 ; 0,780 ; 0,884 ; 0,939 ; 1,399 ; 1,750 ;;;;;;;;;;;;;;;;
201210; 40,9 ; 9,6 ; 0,8 ; 112,7 ; 4.634,0 ; 60,6 ; 4.746,6 ; 5.289.802,0 ; 6,3 ; 4,3 ; 3,7 ; 4.266,4 ; 3.917,5 ; 3,7 ; 0,602 ; 1,142 ; 0,963 ; 1,119 ; 3,945 ; 1,021 ; 1,284 ; 1,034 ; 0,780 ; 0,889 ; 0,953 ; 1,410 ; 1,741 ;;;;;;;;;;;;;;;;
201211; 34,8 ; 9,5 ; 0,8 ; 113,0 ; 4.321,0 ; 55,8 ; 4.777,8 ; 5.292.417,0 ; 6,5 ; 4,3 ; 3,5 ; 4.140,0 ; 3.957,4 ; 3,5 ; 0,539 ; 1,143 ; 0,957 ; 1,120 ; 3,946 ; 0,978 ; 1,293 ; 1,035 ; 0,797 ; 0,891 ; 0,926 ; 1,384 ; 1,751 ;;;;;;;;;;;;;;;;
201212; 39,9 ; 9,2 ; 0,8 ; 136,2 ; 3.990,0 ; 49,1 ; 4.929,1 ; 5.295.033,0 ; 6,3 ; 4,4 ; 3,6 ; 4.301,4 ; 4.199,1 ; 3,7 ; 0,573 ; 1,118 ; 0,952 ; 1,281 ; 3,734 ; 0,884 ; 1,325 ; 1,035 ; 0,787 ; 0,897 ; 0,940 ; 1,414 ; 1,829 ;;;;;;;;;;;;;;;;
201301; 36,1 ; 9,3 ; 0,8 ; 121,9 ; 3.497,0 ; 51,0 ; 4.864,8 ; 5.300.596,0 ; 6,0 ; 4,4 ; 3,7 ; 4.552,4 ; 4.180,5 ; 3,6 ; 0,544 ; 1,119 ; 0,947 ; 1,231 ; 3,356 ; 0,879 ; 1,322 ; 1,036 ; 0,757 ; 0,906 ; 0,952 ; 1,481 ; 1,847 ;;;;;;;;;;;;;;;;
201302; 36,9 ; 9,9 ; 0,8 ; 106,4 ; 4.334,0 ; 53,5 ; 4.846,0 ; 5.303.543,0 ; 5,9 ; 4,5 ; 3,7 ; 4.558,5 ; 4.212,3 ; 3,6 ; 0,544 ; 1,171 ; 0,953 ; 1,108 ; 3,777 ; 0,908 ; 1,318 ; 1,037 ; 0,736 ; 0,921 ; 0,957 ; 1,503 ; 1,862 ;;;;;;;;;;;;;;;;
201303; 38,9 ; 9,1 ; 0,8 ; 102,1 ; 4.313,0 ; 46,4 ; 4.992,5 ; 5.306.491,0 ; 5,9 ; 4,5 ; 3,5 ; 4.432,1 ; 4.204,4 ; 3,7 ; 0,564 ; 1,122 ; 0,953 ; 1,041 ; 3,890 ; 0,831 ; 1,344 ; 1,038 ; 0,733 ; 0,928 ; 0,925 ; 1,480 ; 1,864 ;;;;;;;;;;;;;;;;
201304; 35,5 ; 8,8 ; 0,8 ; 107,2 ; 5.335,0 ; 49,0 ; 4.760,3 ; 5.309.438,0 ; 6,2 ; 4,5 ; 3,3 ; 4.292,1 ; 4.208,3 ; 3,6 ; 0,535 ; 1,080 ; 0,949 ; 1,057 ; 4,578 ; 0,840 ; 1,308 ; 1,038 ; 0,756 ; 0,929 ; 0,877 ; 1,441 ; 1,866 ;;;;;;;;;;;;;;;;
201305; 32,3 ; 8,8 ; 0,8 ; 102,1 ; 4.960,0 ; 49,6 ; 4.864,1 ; 5.312.386,0 ; 6,0 ; 4,5 ; 3,3 ; 4.191,3 ; 4.336,6 ; 3,5 ; 0,493 ; 1,065 ; 0,947 ; 1,025 ; 4,544 ; 0,849 ; 1,317 ; 1,039 ; 0,749 ; 0,927 ; 0,864 ; 1,405 ; 1,906 ;;;;;;;;;;;;;;;;
