SEMANA	OBS	UFM2_SUELO	UFM2_CASA	UFM2_DEPTO	IPSA	LIQUIDEZ	INFLACION	TI_HIPOTECARIA
201516	55	10.80	29.83	121.25	3.00	2216575.40	24680.84	3.65
201517	49	14.40	25.95	77.86	3.00	2217791.54	24715.31	3.63
201518	42	29.27	28.39	95.35	3.00	2366944.40	24749.84	3.58
201519	38	11.93	25.68	59.34	3.00	2289810.80	24784.41	3.57
201520	40	14.00	25.46	67.69	3.00	2295304.60	24818.39	3.60
201521	20	9.76	30.73	79.88	3.00	2276830.40	24851.94	3.62
201522	48	13.64	28.14	55.93	3.00	2287065.80	24885.53	3.58
201523	16	14.16	28.29	71.23	3.00	2379072.40	24919.17	3.62
201524	28	13.85	28.19	63.31	3.00	2558238.20	24949.07	3.59
201525	32	15.55	28.12	57.17	3.00	2540346.80	24961.34	3.63
201526	28	9.02	28.70	50.83	3.00	2567121.60	24972.98	3.68
201527	23	11.91	26.56	56.12	3.00	2402147.60	24984.62	3.68
201528	31	8.25	27.69	61.37	3.00	2401415.00	24996.74	3.62
201529	19	10.49	30.70	58.48	3.00	2488491.20	25022.08	3.67
201530	30	14.13	27.70	83.19	3.00	2456899.00	25050.28	3.70
201531	38	12.03	27.84	89.25	3.00	2498297.80	25078.51	3.70
201532	39	14.69	32.13	102.23	3.00	2308136.60	25106.77	3.68
201533	34	8.06	28.74	70.58	3.00	2467187.20	25132.64	3.68
201534	37	13.19	30.63	65.09	3.00	2442914.00	25155.30	3.68
201535	40	8.14	29.80	41.69	3.00	2442424.80	25177.99	3.65
201536	56	10.36	30.17	45.76	3.00	2348117.60	25200.70	3.59
201537	24	8.30	28.09	60.67	3.00	2491514.80	25224.99	3.64
201538	20	14.12	28.41	62.85	3.00	2500717.20	25264.51	3.67
201539	21	10.68	28.87	62.91	3.00	2581135.20	25305.66	3.65
201540	62	19.15	28.87	68.71	3.00	2509095.20	25346.89	3.64
201541	33	11.39	25.75	65.31	3.00	2420174.00	25388.17	3.63
201542	38	11.57	26.54	48.83	3.06	2525435.00	25420.42	3.65
201543	38	22.11	28.27	54.63	3.25	2461905.80	25449.07	3.67
201544	45	20.82	27.98	66.31	3.25	2482256.60	25477.74	3.67
201545	32	13.46	26.06	53.63	3.25	2298879.80	25506.45	3.64
201546	39	12.41	29.43	68.59	3.25	2448765.00	25533.77	3.72
201547	30	27.77	27.33	84.83	3.25	2440957.00	25557.57	3.71
201548	37	13.86	30.90	81.91	3.25	2473201.00	25581.39	3.76
201549	43	8.36	29.67	100.38	3.25	2286215.60	25605.23	3.71
201550	38	21.12	36.68	76.03	3.25	2414667.80	25627.04	3.76
201551	34	14.12	36.82	72.93	3.30	2567857.40	25629.09	3.80
201552	56	16.45	36.19	113.40	3.50	2565257.20	25629.09	3.78
201553	53	13.88	34.74	81.95	3.50	2636145.00	25629.09	3.76
201601	47	15.29	34.97	70.44	3.50	2615035.00	25629.09	3.78
201602	59	16.72	30.42	67.16	3.50	2721406.80	25629.09	3.83
201603	62	16.02	31.99	63.25	3.50	2617977.00	25629.09	3.88
201604	54	11.98	28.37	51.49	3.50	2636256.80	25629.09	3.87
201605	46	25.94	29.33	51.33	3.50	2450775.40	25629.09	3.81
201606	54	14.04	27.56	62.02	3.50	2523815.40	25634.38	3.89
201607	32	34.15	31.61	62.54	3.50	2518348.80	25664.38	3.84
201608	46	9.24	29.35	50.51	3.50	2572503.00	25695.29	3.84
201609	28	16.29	33.45	61.40	3.50	2392601.40	25726.25	3.78
201610	27	14.05	30.65	74.22	3.50	2492389.80	25756.08	3.85
201611	40	17.35	28.90	114.20	3.50	2519532.80	25774.67	3.84
201612	28	7.67	27.77	139.11	3.50	2538331.00	25792.11	3.83
201613	35	12.63	28.84	84.46	3.50	2548741.80	25809.56	3.80
201614	33	12.74	29.81	73.24	3.50	2434231.20	25827.02	3.79
201615	43	33.50	29.46	94.40	3.50	2568288.60	25848.26	3.81
201616	41	10.16	31.53	56.75	3.50	2496008.60	25872.35	3.81
201617	40	20.67	28.51	56.45	3.50	2502132.20	25896.46	3.81
201618	38	13.07	28.17	57.77	3.50	2319014.20	25920.60	3.77
201619	38	11.50	29.40	47.15	3.50	2451683.80	25942.86	3.83
201620	37	18.52	30.48	113.28	3.50	2407389.00	25960.42	3.79
201621	45	12.53	28.84	119.72	3.50	2406301.00	25977.98	3.77
201622	38	15.92	30.35	78.28	3.50	2284950.20	25995.56	3.78
201623	39	14.98	30.47	64.82	3.50	2269109.00	26012.99	3.77
201624	44	28.49	30.41	56.52	3.50	2372327.00	26026.06	3.76
201625	36	11.61	31.81	52.67	3.50	2347945.80	26038.19	3.77
201626	25	9.51	28.50	50.70	3.50	2319461.00	26050.34	3.76
201627	40	15.98	26.52	59.48	3.50	2266539.20	26062.48	3.75
201628	50	15.91	29.35	66.23	3.50	2433915.60	26081.12	3.75
201629	20	17.48	33.83	106.39	3.50	2385681.60	26104.64	3.74
201630	38	17.71	24.88	84.84	3.50	2483492.40	26128.18	3.75
201631	35	13.07	27.70	92.41	3.50	2305291.60	26151.75	3.70
201632	45	19.28	31.23	48.25	3.50	2438566.40	26173.31	3.78
201633	30	8.14	28.50	73.91	3.50	2427887.20	26185.46	3.78
201634	34	17.84	29.46	58.09	3.50	2507914.60	26197.27	3.74
201635	48	9.29	31.11	97.13	3.50	2429330.60	26209.10	3.69
201636	35	15.98	30.69	114.27	3.50	2408181.60	26220.92	3.74
201637	36	15.70	29.48	83.45	3.50	2545540.40	26224.30	3.74
201638	28	19.30	34.35	87.82	3.50	2485355.60	26224.30	3.68
201639	35	14.40	30.18	84.36	3.50	2602272.80	26224.30	3.63
201640	28	297.77	28.52	48.95	3.50	2391990.00	26224.30	3.65
